,seed,model,lambda,d_model,er_loss,no_epochs,max_len,recall,precision,f1,accuracy,dataset,time
144,56,SDFA_NAP_model,0.1,8,True,10,5,0.6616702698374569,0.8801974698907546,0.7357355552977806,0.6616702698374569,BPI19,87.31614817925728
145,56,SDFA_NAP_model,0.2,8,True,10,5,0.6637521018496276,0.8797876659682307,0.737694127257857,0.6637521018496276,BPI19,91.65377290821634
146,56,SDFA_NAP_model,0.5,8,True,10,5,0.6503643206021299,0.8728407129301814,0.7257628228562487,0.6503643206021299,BPI19,78.98633477510884
147,56,SDFA_NAP_model,0.1,8,True,10,10,0.6541756745936425,0.9149360169838427,0.7463429627719921,0.6541756745936425,BPI19,96.25785634592177
148,56,SDFA_NAP_model,0.2,8,True,10,10,0.6420049643686444,0.9153509745211852,0.7367435582751646,0.6420049643686444,BPI19,102.1556342415046
149,56,SDFA_NAP_model,0.5,8,True,10,10,0.6446152614300584,0.911926321057578,0.7374946771516965,0.6446152614300584,BPI19,98.56326967086645
150,56,SDFA_NAP_model,0.1,8,True,10,20,0.6293378172792057,0.9205031066441856,0.7318019238140017,0.6293378172792057,BPI19,135.1455748209264
151,56,SDFA_NAP_model,0.2,8,True,10,20,0.6317879734166068,0.9223487094985516,0.7340899946423013,0.6317879734166066,BPI19,133.1957402500324
152,56,SDFA_NAP_model,0.5,8,True,10,20,0.6343982704780207,0.9206796766751386,0.7359781364085454,0.6343982704780207,BPI19,153.3963958668988
153,56,SDFA_NAP_model,0.1,8,True,10,30,0.6401153014652895,0.917868370049522,0.7398881795742954,0.6401153014652895,BPI19,189.3312630211003
